"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01"
"US1CATL0024","VISALIA 2.1 W, CA US","2020-01-02","    2","0.00",,,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-01-07","    5","0.00",,,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-01-08",,,"0.02",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-01-10",,,"0.11",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-01-17",,,"0.42",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-01-28","   11","0.00",,,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-02-29","   29","0.00",,,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-11",,,"0.35",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-16",,,"0.13",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-17",,,"0.87",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-19",,,"0.04",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-20",,,"0.27",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-23",,,"0.67",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-24",,,"0.07",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-26",,,"0.06",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-03-29",,,"0.15",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-04-06",,,"1.04",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-04-07",,,"0.30",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-04-08",,,"0.18",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-04-09",,,"0.46",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-04-18",,,"0.47",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-04-19",,,"0.00",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-05-18",,,"0.22",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-05-19",,,"0.32",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-11-07",,,"0.04",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-12-12",,,"0.21",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-12-14",,,"0.16",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-12-17",,,"0.04",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-12-28",,,"0.24",,,,,,,,
"US1CATL0024","VISALIA 2.1 W, CA US","2020-12-31",,,"0.04",,,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-01",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-02",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-03",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-04",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-05",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-06",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-07",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-08",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-09",,,"0.00","0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-10",,,,"0.0",,,,,,,
"US1MOFSA135","CALIFORNIA 0.3 SW, MO US","2020-01-11",,,,"0.0",,,,,,,
